Date,Day,Gender,City,Food_ordered,Restaurant,order_value,Rating,Payment_option,order_status,veg_non_veg,,,,
20-11-2023,Monday,Male,Coimbatore,Mushroom Noodles,Haribhavanam,300,4,Credit Card,Delivered,Veg,,,,
01-05-2023,Saturday,Male,Tiruvannamalai,Mutton curry,Hotel A2B,3037,3,UPI,Delivered,Non-Veg,,,,
18-01-2023,Friday,Female,Thanjavur,Mutton curry,Hotel A2B,2685,5,COD,Delivered,Non-Veg,,,,
14-08-2023,Sunday,Female,Trichy,Mutton Briyani,Asife Briyani,221,5,COD,Delivered,Non-Veg,,,,
11-02-2023,Friday,Female,Coimbatore,Schezwan fried rice,Sree Annapoorana,1402,1,Debit Card,Delivered,Veg,,,,
09-06-2023,Tuesday,Male,Coimbatore,Tandoori roti,Denmarrk Drive-Inn Restaurant,2434,2,UPI,Delivered,Veg,,,,
24-11-2023,Wednesday,Female,Coimbatore,Rose Milk,Sree Annapoorana,75,5,Debit Card,Delivered,Veg,,,,
24-10-2023,Sunday,Female,Erode,Mutton curry,Zara's Home Food,1178,4,Credit Card,Delivered,Non-Veg,,,,
11-10-2023,Tuesday,Female,Coimbatore,Schezwan fried rice,Sree Annapoorana,150,3,Debit Card,Delivered,Veg,,,,
05-09-2023,Saturday,Female,Coimbatore,Mutton curry,Hotel A2B,2783,2,Credit Card,Delivered,Non-Veg,,,,
21-10-2023,Friday,Female,Thanjavur,Dosa,Hotel Junior Kuppanna,166,1,Credit Card,Delivered,Veg,,,,
08-05-2023,Friday,Male,Erode,Chettinad chicken Gravy,Denmarrk Drive-Inn Restaurant,577,1,Debit Card,Delivered,Non-Veg,,,,
22-12-2023,Tuesday,Male,Tirunelveli,Appam,Hotel Junior Kuppanna,1639,1,Credit Card,Delivered,Veg,,,,
16-05-2023,Sunday,Female,Madurai,Jigarthanda,Famous Jigarthanda,540,4,Debit Card,Delivered,Veg,,,,
13-08-2023,Thursday,Female,Tiruvannamalai,Mushroom Biryani,Hotel Anjappar,1196,1,UPI,Delivered,Veg,,,,
14-12-2023,Sunday,Female,Chennai,Veg fried rice,Hotel Anjappar,817,5,COD,Delivered,Veg,,,,
14-08-2023,Monday,Male,Trichy,Grilled Chicken,TOVO Trichy,1078,3,Debit Card,Delivered,Non-Veg,,,,
16-02-2023,Thursday,Female,Tiruppur,idli,Denmarrk Drive-Inn Restaurant,45,2,Debit Card,Delivered,Veg,,,,
28-08-2023,Friday,Male,Erode,Mushroom Masala,Hotel Saravana Bhavan,3035,4,Debit Card,Delivered,Veg,,,,
02-12-2023,Friday,Female,Erode,Mutton curry,Hotel A2B,406,1,COD,Delivered,Non-Veg,,,,
19-12-2023,Sunday,Female,Salem,idli,Hotel Junior Kuppanna,100,5,Credit Card,Delivered,Veg,,,,
18-10-2023,Monday,Male,Trichy,Fish fry,Hotel Junior Kuppanna,2628,4,COD,Delivered,Non-Veg,,,,
12-01-2023,Wednesday,Female,Chennai,idli,Denmarrk Drive-Inn Restaurant,75,2,Credit Card,Delivered,Veg,,,,Denmarrk Drive-Inn Restaurant
17-08-2023,Tuesday,Female,Coimbatore,Schezwan fried rice,Sree Annapoorana,127,1,Credit Card,Delivered,Veg,,,,
25-09-2023,Saturday,Male,Madurai,Pulao,Hotel Junior Kuppanna,1892,5,Debit Card,Delivered,Veg,,,,
02-06-2023,Saturday,Male,Thanjavur,Veg fried rice,Hotel Junior Kuppanna,2843,5,Debit Card,Delivered,Veg,,,,
03-10-2023,Monday,Male,Madurai,Gobi manchurian,Hotel Junior Kuppanna,616,5,Credit Card,Delivered,Veg,,,,
01-06-2023,Saturday,Male,Salem,Shawarma,Barbequeen Restaurant,99,3,UPI,Delivered,Veg,,,,
24-03-2023,Monday,Male,Pollachi,Masala dosa,Hotel A2B,3352,3,UPI,Delivered,Veg,,,,
13-09-2023,Tuesday,Male,Trichy,Grilled Chicken,TOVO Trichy,128,3,COD,Delivered,Non-Veg,,,,
13-12-2023,Monday,Female,Chennai,Hyderabadi Chicken Biryani,Ss Hyderabad Biryani,767,5,Credit Card,Delivered,Non-Veg,,,,
19-08-2023,Saturday,Female,Coimbatore,Appam,Haribhavanam,150,4,Debit Card,Delivered,Veg,,,,
11-08-2023,Wednesday,Male,Pollachi,Mushroom Biryani,Hotel A2B,2148,5,Credit Card,Delivered,Non-Veg,,,,
31-03-2023,Monday,Male,Trichy,Palak paneer,Hotel A2B,2163,5,Credit Card,Delivered,Veg,,,,
25-08-2023,Saturday,Male,Tirunelveli,Tandoori roti,Denmarrk Drive-Inn Restaurant,127,4,Credit Card,Delivered,Veg,,,,
